abandon,-0.80000000
abandoned,-0.50000000
abandonment,-0.50000000
abase,-1.00000000
abasement,-1.00000000
abash,-1.00000000
abate,-0.50000000
abbreviate,-1.00000000
abdicate,-0.50000000
aberration,-1.00000000
abhor,-1.00000000
abhorred,-1.00000000
abhorrence,-1.00000000
abhorrent,-1.00000000
abhorrently,-1.00000000
abhors,-1.00000000
abidance,1.00000000
abide,-1.00000000
abilities,0.50000000
ability,0.50000000
abject,-1.00000000
abjectly,-1.00000000
abjure,-0.50000000
able,0.50000000
abnegate,-1.00000000
abnormal,-0.50000000
abolish,-0.50000000
abominable,-1.00000000
abominably,-1.00000000
abominate,-1.00000000
abomination,-1.00000000
abound,0.50000000
above,0.50000000
above-average,0.50000000
abrade,0.00000000
abrasive,-1.00000000
abridge,-1.00000000
abrupt,-0.50000000
abscond,-1.00000000
absence,-0.50000000
absent-minded,-1.00000000
absentee,-0.50000000
absolute,0.00000000
absolutely,0.00000000
absolve,1.00000000
absorb,0.00000000
absorbed,0.00000000
abstain,0.00000000
abstract,-1.00000000
absurd,-1.00000000
absurdity,-1.00000000
absurdly,-1.00000000
absurdness,-1.00000000
abundance,0.50000000
abundant,0.50000000
abuse,-1.00000000
abuses,-0.50000000
abusive,-1.00000000
abysmal,-1.00000000
abysmally,-1.00000000
abyss,-1.00000000
accede,1.00000000
accent,0.00000000
accentuate,0.00000000
accept,0.85714286
acceptable,0.50000000
acceptance,0.50000000
accessible,0.50000000
accidental,-0.50000000
acclaim,1.00000000
acclaimed,1.00000000
acclamation,1.00000000
accolade,1.00000000
accolades,1.00000000
accommodative,0.50000000
accomplish,0.50000000
accomplishment,0.50000000
accomplishments,0.50000000
accord,0.50000000
accordance,0.50000000
accordantly,0.50000000
accost,-0.50000000
accountable,-0.50000000
accredit,1.00000000
accrue,0.00000000
accurate,0.50000000
accurately,0.50000000
accursed,-1.00000000
accusation,-1.00000000
accusations,-1.00000000
accuse,-1.00000000
accuses,-1.00000000
accusing,-1.00000000
accusingly,-1.00000000
ace,0.00000000
acerbate,-1.00000000
acerbic,-1.00000000
acerbically,-1.00000000
ache,0.00000000
achievable,0.50000000
